cancer,edin,is_tumor
ACC,0.038,True
BLCA,0.0319,True
BLCA,0.0526,False
BRCA,0.0471,True
BRCA,0.0177,False
CESC,0.0392,True
CHOL,0.0278,True
COAD,0.0321,True
ESCA,0.0309,True
GBM,0.006,True
HNSC,0.034,True
KICH,0.0154,True
KICH,0.0417,False
KIRC,0.015,True
KIRC,0.0278,False
KIRP,0.0242,True
KIRP,0.0312,False
LAML,0.0132,True
LGG,0.017,True
LIHC,0.0374,True
LIHC,0.02,False
LUAD,0.0304,True
LUSC,0.0321,True
LUSC,0.0204,False
MESO,0.0465,True
OV,0.0264,True
PAAD,0.0281,True
PCPG,0.0437,True
PRAD,0.026,True
PRAD,0.0192,False
READ,0.0326,True
SARC,0.0152,True
SKCM,0.0212,True
STAD,0.0453,True
STAD,0.0625,False
TGCT,0.0128,True
THCA,0.0236,True
UCEC,0.0493,True
UCEC,0.0286,False
ACC,0.1646,True
BLCA,0.4118,True
BLCA,0.3158,False
BRCA,0.553,True
BRCA,0.3186,False
CESC,0.4575,True
CESC,0.3333,False
CHOL,0.25,True
CHOL,0.1111,False
COAD,0.2214,True
COAD,0.2439,False
DLBC,0.5,True
ESCA,0.8148,True
ESCA,0.4545,False
GBM,0.7024,True
GBM,1.0,False
HNSC,0.44,True
HNSC,0.25,False
KICH,0.1077,True
KICH,0.2083,False
KIRC,0.4336,True
KIRC,0.2639,False
KIRP,0.2215,True
KIRP,0.2812,False
LAML,0.1987,True
LGG,0.4594,True
LIHC,0.3021,True
LIHC,0.14,False
LUAD,0.3966,True
LUAD,0.2203,False
LUSC,0.4489,True
LUSC,0.4898,False
MESO,0.5,True
OV,0.8311,True
PAAD,0.3202,True
PAAD,0.75,False
PCPG,0.4863,True
PRAD,0.348,True
PRAD,0.3462,False
READ,0.3152,True
READ,0.1,False
SARC,0.4715,True
SARC,0.5,False
SKCM,0.4374,True
SKCM,1.0,False
STAD,0.664,True
STAD,0.625,False
TGCT,0.5513,True
THCA,0.3988,True
THCA,0.2759,False
THYM,0.5798,True
THYM,0.5,False
UCEC,0.5201,True
UCEC,0.3429,False
UCS,0.4286,True
UVM,0.1625,True
ACC,0.1266,True
BLCA,0.4828,True
BLCA,0.3158,False
BRCA,0.5059,True
BRCA,0.2035,False
CESC,0.4967,True
CESC,0.3333,False
CHOL,0.4167,True
COAD,0.2964,True
COAD,0.1951,False
DLBC,0.4583,True
ESCA,0.9259,True
ESCA,0.2727,False
GBM,0.5536,True
GBM,0.4,False
HNSC,0.472,True
HNSC,0.1818,False
KICH,0.0308,True
