cancer,edin,p50,is_tumor
BLCA,0.01,0.0588,True
BRCA,0.01,0.0691,True
CESC,0.01,0.0628,True
CHOL,0.03,0.0577,True
ESCA,0.03,0.0500,True
GBM,0.04,0.0556,True
HNSC,0.0,0.0801,True
KIRC,0.0,0.0117,True
LIHC,0.0,0.0556,True
LUSC,0.01,0.0556,True
LUSC,0.02,0.0448,False
MESO,0.01,0.0480,True
OV,0.02,0.0667,True
PRAD,0.01,0.0628,True
PRAD,0.02,0.0693,False
SARC,0.01,0.0714,True
SKCM,0.0,0.0500,True
STAD,0.02,0.0521,True
THCA,0.01,0.0556,True
UCEC,0.0,0.0682,True
LUSC,0.0,0.0909,True
LUSC,0.0,0.0667,True
LUSC,0.0,0.0645,True
BLCA,0.0,0.0667,True
BLCA,0.0,0.0769,True
BLCA,0.0,0.0769,True
BLCA,0.0,0.0526,True
LUSC,0.0,0.0625,True
CESC,0.0,0.0556,True
LUAD,0.0,0.0909,True
CESC,0.0,0.0667,True
BLCA,0.0,0.0625,True
BRCA,0.0,0.0606,True
CESC,0.01,0.0556,True
COAD,0.01,0.0833,True
ESCA,0.04,0.0714,True
ESCA,0.09,0.0556,False
HNSC,0.0,0.0513,True
KIRC,0.01,0.0164,True
LAML,0.01,0.0834,True
LGG,0.0,0.0588,True
LIHC,0.0,0.0769,True
LUAD,0.02,0.1000,False
LUSC,0.0,0.0556,True
OV,0.01,0.0357,True
PAAD,0.01,0.0528,True
PCPG,0.01,0.0833,True
PRAD,0.0,0.0588,True
SARC,0.01,0.0813,True
SKCM,0.0,0.0833,True
STAD,0.02,0.0667,True
STAD,0.03,0.0667,False
THCA,0.0,0.0667,True
UCEC,0.0,0.0588,True
GBM,0.01,0.0714,True
GBM,0.01,0.0714,True
GBM,0.01,0.0588,True
GBM,0.01,0.0769,True
